№,Name,Description,Price,Image Url
66,Сотовый телефон Xiaomi Poco X5 Pro 8/256GB желтый,"

Сотовый телефон Xiaomi Poco X5 Pro 8/256GB желтый

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778; память 8/256 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 12; GSM 5G            ",27830 сом,/images/product/117336/1676419363_76457200.jpg
67,Сотовый телефон Xiaomi 12T Pro 8/256GB черный,"

Сотовый телефон Xiaomi 12T Pro 8/256GB черный

        6.7"" OLED 2712x1220 ~120Гц; процессор Snapdragon 8; память 8/256 GB; основная камера 200+8+2 mpx; фронтальная 20 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 12; GSM 5G            ",45770 сом,/images/product/111961/1665146065_57260800.jpg
68,Сотовый телефон Xiaomi Poco X5 Pro 8/256GB голубой,"

Сотовый телефон Xiaomi Poco X5 Pro 8/256GB голубой

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778; память 8/256 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 12; GSM 5G            ",27830 сом,/images/product/117337/1676419462_51727600.jpg
69,Сотовый телефон Apple iPhone 13 mini 128GB сияющая звезда,"

Сотовый телефон Apple iPhone 13 mini 128GB сияющая звезда

        iOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 5.4"", разрешение 2340x1080, двойная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота для карт памяти,...            ",59740 сом,/images/product/97882/1631799409_77089100.jpg
70,Сотовый телефон Xiaomi 12T Pro 8/256GB голубой,"

Сотовый телефон Xiaomi 12T Pro 8/256GB голубой

        6.7"" OLED 2712x1220 ~120Гц; процессор Snapdragon 8; память 8/256 GB; основная камера 200+8+2 mpx; фронтальная 20 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 12; GSM 5G            ",45770 сом,/images/product/111962/1665146166_33421300.jpg
71,Сотовый телефон Xiaomi Poco X5 Pro 8/256GB черный,"

Сотовый телефон Xiaomi Poco X5 Pro 8/256GB черный

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778; память 8/256 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 12; GSM 5G            ",27830 сом,/images/product/117338/1676419540_88307400.jpg
72,Сотовый телефон Apple iPhone 13 mini 256GB сияющая звезда,"

Сотовый телефон Apple iPhone 13 mini 256GB сияющая звезда

        5.4"" OLED 2340x1080 ~60Гц; процессор A15 Bionic; память 4/256 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 2438 мАч; быстрая зарядка 15 Вт; iOS 15; GSM 5G            ",64250 сом,/images/product/97883/1631799548_94053300.jpg
73,Сотовый телефон Apple iPhone 13 mini 128GB розовый,"

Сотовый телефон Apple iPhone 13 mini 128GB розовый

        iOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 5.4"", разрешение 2340x1080, двойная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота для карт памяти,...            ",59740 сом,/images/product/97885/1631799947_24727700.jpg
74,Сотовый телефон Apple iPhone 13 mini 256GB розовый,"

Сотовый телефон Apple iPhone 13 mini 256GB розовый

        5.4"" OLED 2340x1080 ~60Гц; процессор A15 Bionic; память 4/256 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 2438 мАч; быстрая зарядка 15 Вт; iOS 15; GSM 5G            ",64250 сом,/images/product/97886/1631799976_74391100.jpg
75,Сотовый телефон Apple iPhone 13 mini 128GB синий,"

Сотовый телефон Apple iPhone 13 mini 128GB синий

        iOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 5.4"", разрешение 2340x1080, двойная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота для карт памяти,...            ",59740 сом,/images/product/97888/1631800302_74192400.jpg
76,Сотовый телефон Apple iPhone 13 mini 256GB синий,"

Сотовый телефон Apple iPhone 13 mini 256GB синий

        5.4"" OLED 2340x1080 ~60Гц; процессор A15 Bionic; память 4/256 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 2438 мАч; быстрая зарядка 15 Вт; iOS 15; GSM 5G            ",64250 сом,/images/product/97889/1631800332_30825900.jpg
77,Сотовый телефон Apple iPhone 13 mini 128GB полуночный,"

Сотовый телефон Apple iPhone 13 mini 128GB полуночный

        iOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 5.4"", разрешение 2340x1080, двойная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота для карт памяти,...            ",59740 сом,/images/product/97891/1631800703_11997700.jpg
78,Сотовый телефон Xiaomi Redmi 10C 4/128GB серый,"

Сотовый телефон Xiaomi Redmi 10C 4/128GB серый

        6.7"" IPS 1650x720 ~60Гц; процессор Snapdragon 680; память 4/128 GB; основная камера 50+2 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 11; GSM 4G            ",11170 сом,/images/product/104803/1648310638_87270900.jpg
79,Сотовый телефон Apple iPhone 13 mini 256GB полуночный,"

Сотовый телефон Apple iPhone 13 mini 256GB полуночный

        5.4"" OLED 2340x1080 ~60Гц; процессор A15 Bionic; память 4/256 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 2438 мАч; быстрая зарядка 15 Вт; iOS 15; GSM 5G            ",64250 сом,/images/product/97892/1631800739_86520800.jpg
80,Сотовый телефон Xiaomi Redmi 10C 4/128GB синий,"

Сотовый телефон Xiaomi Redmi 10C 4/128GB синий

        6.7"" IPS 1650x720 ~60Гц; процессор Snapdragon 680; память 4/128 GB; основная камера 50+2 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 11; GSM 4G            ",11170 сом,/images/product/104804/1648310652_05982100.jpg
81,Сотовый телефон Xiaomi Redmi 12C 4/128GB черный,"

Сотовый телефон Xiaomi Redmi 12C 4/128GB черный

        6.7"" IPS 1650x720~60Гц; Mediatek Helio G85; память 4/128GB; основная камера 50+0.08 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 10 Вт; Android 12; GSM 4G            ",10710 сом,/images/product/117860/1677350336_38171500.jpg
82,Сотовый телефон Xiaomi Redmi 10C 4/128GB зеленый,"

Сотовый телефон Xiaomi Redmi 10C 4/128GB зеленый

        6.7"" IPS 1650x720 ~60Гц; процессор Snapdragon 680; память 4/128 GB; основная камера 50+2 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 11; GSM 4G            ",11170 сом,/images/product/104805/1648310666_54418900.jpg
83,Сотовый телефон Xiaomi Redmi 10 2022 4/128GB белый,"

Сотовый телефон Xiaomi Redmi 10 2022 4/128GB белый

        6.5"" LCD 2400x1080 ~90Гц; процессор Helio G88; память 4/128 GB; основная камера 50+8+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 11; GSM 4G            ",11950 сом,/images/product/106853/1653145141_11530400.jpg
84,Сотовый телефон Xiaomi Redmi 12C 4/128GB мятный,"

Сотовый телефон Xiaomi Redmi 12C 4/128GB мятный

        6.7"" IPS 1650x720~60Гц; Mediatek Helio G85; память 4/128GB; основная камера 50+0.08 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 10 Вт; Android 12; GSM 4G            ",10710 сом,/images/product/117861/1677350436_03747700.jpg
85,Сотовый телефон Apple iPhone 13 mini 128GB красный,"

Сотовый телефон Apple iPhone 13 mini 128GB красный

        iOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 5.4"", разрешение 2340x1080, двойная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота для карт памяти,...            ",59740 сом,/images/product/97894/1631801042_71534000.jpg
86,Сотовый телефон Xiaomi Redmi 10 2022 4/128GB голубой,"

Сотовый телефон Xiaomi Redmi 10 2022 4/128GB голубой

        6.5"" LCD 2400x1080 ~90Гц; процессор Helio G88; память 4/128 GB; основная камера 50+8+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 18 Вт; Android 11; GSM 4G            ",11950 сом,/images/product/106854/1653145152_17687600.jpg
87,Сотовый телефон Apple iPhone 13 mini 256GB красный,"

Сотовый телефон Apple iPhone 13 mini 256GB красный

        5.4"" OLED 2340x1080 ~60Гц; процессор A15 Bionic; память 4/256 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 2438 мАч; быстрая зарядка 15 Вт; iOS 15; GSM 5G            ",64250 сом,/images/product/97895/1631801063_39344500.jpg
88,Сотовый телефон Apple iPhone 13 128GB красный,"

Сотовый телефон Apple iPhone 13 128GB красный

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/97897/1631808085_26488000.jpg
89,Сотовый телефон Apple iPhone 13 128GB синий,"

Сотовый телефон Apple iPhone 13 128GB синий

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/97900/1631808440_79057200.jpg
90,Сотовый телефон Xiaomi Poco M5s 6/128GB серый,"

Сотовый телефон Xiaomi Poco M5s 6/128GB серый

        экран 6.43"" OLED 2400x1080~60Hz; память 6/128GB; процессор Mediatek Helio G95; аккумулятор 5000 mAh; GSM 4G; камеры 64+8+2+2/13 mpx; поддержка быстрой зарядки 33Вт; NFC; Android 12            ",15220 сом,/images/product/113774/1668360931_73315000.jpg
91,Сотовый телефон Apple iPhone 13 128GB полуночный,"

Сотовый телефон Apple iPhone 13 128GB полуночный

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/97903/1631808729_32480300.jpg
92,Сотовый телефон Xiaomi Poco M5s 6/128GB голубой,"

Сотовый телефон Xiaomi Poco M5s 6/128GB голубой

        экран 6.43"" OLED 2400x1080~60Hz; память 6/128GB; процессор Mediatek Helio G95; аккумулятор 5000 mAh; GSM 4G; камеры 64+8+2+2/13 mpx; поддержка быстрой зарядки 33Вт; NFC; Android 12            ",15220 сом,/images/product/113775/1668360981_19545600.jpg
93,Сотовый телефон Apple iPhone 13 128GB сияющая звезда,"

Сотовый телефон Apple iPhone 13 128GB сияющая звезда

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/97906/1631809004_80505000.jpg
94,Сотовый телефон Apple iPhone 13 128GB розовый,"

Сотовый телефон Apple iPhone 13 128GB розовый

        6.1"" OLED 2532x1170 ~60Гц; процессор A15 Bionic; память 4/128 GB; основная камера 12+12 mpx; фронтальная 12 mpx; аккумулятор 3240 мАч; быстрая зарядка 23 Вт; iOS 15; GSM 5G            ",62320 сом,/images/product/97909/1631809348_37875500.jpg
95,Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB черный

        6.67"" OLED 2400х1080~120Гц; MediaTek Dimensity 1080; память 8/256GB; основная камера 200+8+2 mpx (OIS); фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 12; GSM 5G            ",30180 сом,/images/product/120442/1682331253_53840500.jpg
96,Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB голубой

        6.67"" OLED 2400х1080~120Гц; MediaTek Dimensity 1080; память 8/256GB; основная камера 200+8+2 mpx (OIS); фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 12; GSM 5G            ",30180 сом,/images/product/120443/1682331306_66467500.jpg
97,Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB серый,"

Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB серый

        6.7"" OLED 2400x1080 ~120Гц; процессор Helio G96; память 6/128 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 11; GSM 4G            ",21330 сом,/images/product/104829/1648320022_56998600.jpg
98,Сотовый телефон Xiaomi 11T Pro 8/256GB серый,"

Сотовый телефон Xiaomi 11T Pro 8/256GB серый

        6.67"" AMOLED 2400x1080~120Гц; Qualcomm Snapdragon 888; память 8/256GB; основная камера 108+8+5 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 11; GSM 5G            ",33100 сом,/images/product/104833/1648321987_96090900.png
99,Сотовый телефон Xiaomi 11T Pro 8/256GB белый,"

Сотовый телефон Xiaomi 11T Pro 8/256GB белый

        6.67"" AMOLED 2400x1080~120Гц; Qualcomm Snapdragon 888; память 8/256GB; основная камера 108+8+5 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 11; GSM 5G            ",33100 сом,/images/product/104834/1648322109_04391500.png
100,Сотовый телефон Xiaomi 11T Pro 8/256GB голубой,"

Сотовый телефон Xiaomi 11T Pro 8/256GB голубой

        6.67"" AMOLED 2400x1080~120Гц; Qualcomm Snapdragon 888; память 8/256GB; основная камера 108+8+5 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 11; GSM 5G            ",33100 сом,/images/product/104835/1648322225_30619200.png
101,Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB голубой

        6.7"" OLED 2400x1080 ~120Гц; процессор Helio G96; память 6/128 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 11; GSM 4G            ",21330 сом,/images/product/104836/1648323196_75242800.jpg
102,Сотовый телефон Samsung Galaxy A13 4G 4/64GB черный,"

Сотовый телефон Samsung Galaxy A13 4G 4/64GB черный

        6.6"" PLS 2408x1080 ~60Гц; процессор Exynos 850; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 15 Вт; Android 12; GSM 4G            ",12400 сом,/images/product/105106/1649051047_41500400.jpg
103,Сотовый телефон Samsung Galaxy A13 4G 4/64GB белый,"

Сотовый телефон Samsung Galaxy A13 4G 4/64GB белый

        6.6"" PLS 2408x1080 ~60Гц; процессор Exynos 850; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 15 Вт; Android 12; GSM 4G            ",12400 сом,/images/product/105107/1649051002_49715500.jpg
104,Сотовый телефон Samsung Galaxy A13 4G 4/64GB персиковый,"

Сотовый телефон Samsung Galaxy A13 4G 4/64GB персиковый

        6.6"" PLS 2408x1080 ~60Гц; процессор Exynos 850; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 15 Вт; Android 12; GSM 4G            ",12400 сом,/images/product/105108/1649050938_27167200.jpg
105,Сотовый телефон Samsung Galaxy A13 4G 4/64GB голубой,"

Сотовый телефон Samsung Galaxy A13 4G 4/64GB голубой

        6.6"" PLS 2408x1080 ~60Гц; процессор Exynos 850; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 15 Вт; Android 12; GSM 4G            ",12400 сом,/images/product/105109/1649050882_84903300.jpg
106,Сотовый телефон Xiaomi 12T Pro 8/256GB серебристый,"

Сотовый телефон Xiaomi 12T Pro 8/256GB серебристый

        6.7"" OLED 2712x1220 ~120Гц; процессор Snapdragon 8; память 8/256 GB; основная камера 200+8+2 mpx; фронтальная 20 mpx; аккумулятор 5000 мАч; быстрая зарядка 120 Вт; Android 12; GSM 5G            ",45770 сом,/images/product/112027/1665400003_70814600.jpg
107,Сотовый телефон Samsung Galaxy A23 4/128GB черный,"

Сотовый телефон Samsung Galaxy A23 4/128GB черный

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 4/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",15580 сом,/images/product/105119/1649052107_79765600.jpg
108,Сотовый телефон Samsung Galaxy A23 4/128GB белый,"

Сотовый телефон Samsung Galaxy A23 4/128GB белый

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 4/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",15580 сом,/images/product/105120/1649052175_58209600.jpg
109,Сотовый телефон Xiaomi Redmi 12C 4/128GB синий,"

Сотовый телефон Xiaomi Redmi 12C 4/128GB синий

        6.7"" IPS 1650x720~60Гц; Mediatek Helio G85; память 4/128GB; основная камера 50+0.08 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 10 Вт; Android 12; GSM 4G            ",10710 сом,/images/product/117920/1677566852_41855000.jpg
110,Сотовый телефон Samsung Galaxy A23 4/128GB персиковый,"

Сотовый телефон Samsung Galaxy A23 4/128GB персиковый

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 4/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",15580 сом,/images/product/105121/1649052208_08866000.jpg
111,Сотовый телефон Samsung Galaxy A23 4/128GB голубой,"

Сотовый телефон Samsung Galaxy A23 4/128GB голубой

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 4/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",15580 сом,/images/product/105122/1649052239_71344800.jpg
112,Сотовый телефон Samsung Galaxy A23 6/128GB черный,"

Сотовый телефон Samsung Galaxy A23 6/128GB черный

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 6/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",16020 сом,/images/product/105123/1649052408_63529100.jpg
113,Сотовый телефон Samsung Galaxy A23 6/128GB белый,"

Сотовый телефон Samsung Galaxy A23 6/128GB белый

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 6/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",16020 сом,/images/product/105124/1649052559_53778800.jpg
114,Сотовый телефон Samsung Galaxy A23 6/128GB персиковый,"

Сотовый телефон Samsung Galaxy A23 6/128GB персиковый

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 6/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",16020 сом,/images/product/105125/1649052808_01852600.jpg
115,Сотовый телефон Samsung Galaxy A23 6/128GB голубой,"

Сотовый телефон Samsung Galaxy A23 6/128GB голубой

        6.6"" PLS 2408x1080 ~90Гц; Qualcomm Snapdragon 680; память 6/128GB; основная камера 50+5+2+2 mpx (OIS); фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",16020 сом,/images/product/105126/1649053026_70166900.jpg
116,Сотовый телефон Samsung Galaxy Z Flip4 8/256 фиолетовый,"

Сотовый телефон Samsung Galaxy Z Flip4 8/256 фиолетовый

        6.7"" OLED 2640x1080 ~120Гц; процессор Snapdragon 8+; память 8/256 GB; основная камера 12+12 mpx; фронтальная 10 mpx; аккумулятор 3700 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",58180 сом,/images/product/112811/1666851898_64551600.jpg
117,Сотовый телефон Apple iPhone 14 128GB полночный черный,"

Сотовый телефон Apple iPhone 14 128GB полночный черный

        6.1"" OLED 2532х1170~60Гц; Apple A15 Bionic; память 6/128GB; основная камера 12+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3279 мАч; быстрая зарядка PD 2.0; Apple iOS 16; GSM 5G            ",70000 сом,/images/product/111020/1667069318_27060600.jpg
118,Сотовый телефон Samsung Galaxy Z Flip4 8/256 графитовый,"

Сотовый телефон Samsung Galaxy Z Flip4 8/256 графитовый

        6.7"" OLED 2640x1080 ~120Гц; процессор Snapdragon 8+; память 8/256 GB; основная камера 12+12 mpx; фронтальная 10 mpx; аккумулятор 3700 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",58180 сом,/images/product/112812/1666851909_57700800.jpg
119,Сотовый телефон Apple iPhone 14 128GB фиолетовый,"

Сотовый телефон Apple iPhone 14 128GB фиолетовый

        6.1"" OLED 2532х1170~60Гц; Apple A15 Bionic; память 6/128GB; основная камера 12+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3279 мАч; быстрая зарядка PD 2.0; Apple iOS 16; GSM 5G            ",70000 сом,/images/product/111021/1667069304_37205800.jpg
120,Сотовый телефон Samsung Galaxy Z Flip4 8/256 голубой,"

Сотовый телефон Samsung Galaxy Z Flip4 8/256 голубой

        6.7"" OLED 2640x1080 ~120Гц; процессор Snapdragon 8+; память 8/256 GB; основная камера 12+12 mpx; фронтальная 10 mpx; аккумулятор 3700 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",58180 сом,/images/product/112813/1666851919_70805200.jpg
121,Сотовый телефон Apple iPhone 14 128GB сияющая звезда,"

Сотовый телефон Apple iPhone 14 128GB сияющая звезда

        6.1"" OLED 2532х1170~60Гц; Apple A15 Bionic; память 6/128GB; основная камера 12+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3279 мАч; быстрая зарядка PD 2.0; Apple iOS 16; GSM 5G            ",70000 сом,/images/product/111022/1667069288_96465100.jpg
122,Сотовый телефон Samsung Galaxy Z Flip4 8/256 золотой,"

Сотовый телефон Samsung Galaxy Z Flip4 8/256 золотой

        6.7"" OLED 2640x1080 ~120Гц; процессор Snapdragon 8+; память 8/256 GB; основная камера 12+12 mpx; фронтальная 10 mpx; аккумулятор 3700 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",58180 сом,/images/product/112814/1666851929_26870300.jpg
123,Сотовый телефон Apple iPhone 14 128GB голубой,"

Сотовый телефон Apple iPhone 14 128GB голубой

        6.1"" OLED 2532х1170~60Гц; Apple A15 Bionic; память 6/128GB; основная камера 12+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3279 мАч; быстрая зарядка PD 2.0; Apple iOS 16; GSM 5G            ",70000 сом,/images/product/111023/1667069269_56684100.jpg
124,Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB белый,"

Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB белый

        6.7"" OLED 2400x1080 ~120Гц; процессор Helio G96; память 6/128 GB; основная камера 108+8+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 11; GSM 4G            ",21330 сом,/images/product/105136/1649060394_30736400.jpg
125,Сотовый телефон Apple iPhone 14 128GB красный,"

Сотовый телефон Apple iPhone 14 128GB красный

        6.1"" OLED 2532х1170~60Гц; Apple A15 Bionic; память 6/128GB; основная камера 12+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3279 мАч; быстрая зарядка PD 2.0; Apple iOS 16; GSM 5G            ",70000 сом,/images/product/111024/1667069255_04497100.jpg
126,Сотовый телефон Itel A25 фиолетовый,"

Сотовый телефон Itel A25 фиолетовый

        5.0"" IPS 1280x720 ~60Гц; процессор Unisoc SC9832E; память 1/16 GB; основная камера 5 mpx; фронтальная 2 mpx; аккумулятор 3020 мАч; быстрая зарядка нет; Android 9; GSM 4G            ",3890 сом,/images/product/101556/1640066729_15082200.jpg
127,Сотовый телефон Apple iPhone 14 Pro 128GB космический черный,"

Сотовый телефон Apple iPhone 14 Pro 128GB космический черный

        6.1"" OLED 2556x1179 ~60Гц; процессор A16 Bionic; память 6/128 GB; основная камера 48+12+12 mpx; фронтальная 12 mpx; аккумулятор 3200 мАч; быстрая зарядка 23 Вт; iOS 16; GSM 5G            ",97290 сом,/images/product/111030/1667070233_28210600.jpg
128,Сотовый телефон Apple iPhone 14 Pro 128GB фиолетовый,"

Сотовый телефон Apple iPhone 14 Pro 128GB фиолетовый

        6.1"" OLED 2556x1179 ~60Гц; процессор A16 Bionic; память 6/128 GB; основная камера 48+12+12 mpx; фронтальная 12 mpx; аккумулятор 3200 мАч; быстрая зарядка 23 Вт; iOS 16; GSM 5G            ",97290 сом,/images/product/111031/1667070267_45413700.jpg
129,Сотовый телефон Apple iPhone 14 Pro 128GB серебристый,"

Сотовый телефон Apple iPhone 14 Pro 128GB серебристый

        6.1"" OLED 2556x1179 ~60Гц; процессор A16 Bionic; память 6/128 GB; основная камера 48+12+12 mpx; фронтальная 12 mpx; аккумулятор 3200 мАч; быстрая зарядка 23 Вт; iOS 16; GSM 5G            ",97290 сом,/images/product/111032/1667070106_55554700.jpg
130,Сотовый телефон Itel A48 2/32GB фиолетовый,"

Сотовый телефон Itel A48 2/32GB фиолетовый

        6.1"" IPS 1560x720 ~60Гц; процессор Unisoc SC9832E; память 2/32 GB; основная камера 5 mpx; фронтальная 5 mpx; аккумулятор 3000 мАч; быстрая зарядка нет; Android 10; GSM 4G            ",4780 сом,/images/product/101561/1640068040_84967200.jpg
131,Сотовый телефон Apple iPhone 14 Pro 128GB золотой,"

Сотовый телефон Apple iPhone 14 Pro 128GB золотой

        6.1"" OLED 2556x1179 ~60Гц; процессор A16 Bionic; память 6/128 GB; основная камера 48+12+12 mpx; фронтальная 12 mpx; аккумулятор 3200 мАч; быстрая зарядка 23 Вт; iOS 16; GSM 5G            ",97290 сом,/images/product/111033/1667070181_22421300.jpg
132,Сотовый телефон Itel A25 голубой,"

Сотовый телефон Itel A25 голубой

        5.0"" IPS 1280x720 ~60Гц; процессор Unisoc SC9832E; память 1/16 GB; основная камера 5 mpx; фронтальная 2 mpx; аккумулятор 3020 мАч; быстрая зарядка нет; Android 9; GSM 4G            ",3890 сом,/images/product/95931/1628189348_48401900.jpg
133,Сотовый телефон Itel Vision 1 Pro 2/32GB синий,"

Сотовый телефон Itel Vision 1 Pro 2/32GB синий

        6.5"" IPS 1600x720 ~60Гц; процессор Unisoc SC9832E; память 2/32 GB; основная камера 8 mpx; фронтальная 5 mpx; аккумулятор 4000 мАч; быстрая зарядка нет; Android 10; GSM 4G            ",5040 сом,/images/product/101563/1640069123_75143200.jpg
