№,Name,Description,Price,Image Url
16,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB черный,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB черный

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118820/1679252408_56763800.jpg
17,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB кремовый,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB кремовый

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118821/1679252780_88854600.jpg
18,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB зеленый,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB зеленый

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118822/1679252946_94063400.jpg
19,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB графит,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB графит

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118823/1679253149_41234400.jpg
20,Сотовый телефон Xiaomi Redmi 12C 4/128GB фиолетовый,"

Сотовый телефон Xiaomi Redmi 12C 4/128GB фиолетовый

        6.7"" IPS 1650x720~60Гц; Mediatek Helio G85; память 4/128GB; основная камера 50+0.08 mpx; фронтальная 5 mpx; аккумулятор 5000 мАч; быстрая зарядка 10 Вт; Android 12; GSM 4G            ",10710 сом,/images/product/119847/1680853327_94505700.png
21,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лайм,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лайм

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/118824/1679253346_80393500.jpg
22,Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB черный

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 4/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",15310 сом,/images/product/119848/1680855512_29540100.jpg
23,Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 4G NFC 4/128GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 4/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",15310 сом,/images/product/119849/1680855650_97311600.jpg
24,Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB черный

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 6/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",16290 сом,/images/product/119852/1680856338_99355200.jpg
25,Сотовый телефон Samsung Galaxy S23 8/128GB черный,"

Сотовый телефон Samsung Galaxy S23 8/128GB черный

        6.1"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/128 GB; основная камера 50+10+12 mpx; фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/117293/1676332819_65270900.jpg
26,Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 6/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",16290 сом,/images/product/119853/1680856400_58909800.jpg
27,Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лавандовый,"

Сотовый телефон Samsung Galaxy S23 Plus 8/256GB лавандовый

        6.6"" OLED 2340x1080 ~120Гц; процессор Snapdragon 8 G2; память 8/256GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 4700 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",70890 сом,/images/product/117294/1676333574_83587900.jpg
28,Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB зеленый,"

Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB зеленый

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 6/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",16290 сом,/images/product/119854/1680856440_80977500.jpg
29,Сотовый телефон Samsung Galaxy S23 Ultra 12/256GB черный,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/256GB черный

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/256 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",90210 сом,/images/product/117295/1676334881_73479700.jpg
30,Сотовый телефон Samsung Galaxy S23 Ultra 12/256GB лавандовый,"

Сотовый телефон Samsung Galaxy S23 Ultra 12/256GB лавандовый

        6.8"" OLED 3088x1440 ~120Гц; процессор Snapdragon 8 G2; память 12/256 GB; основная камера 200+10+10+12 mpx; фронтальная 12 mpx; аккумулятор 5000 мАч; быстрая зарядка 45 Вт; Android 13; GSM 5G            ",90210 сом,/images/product/117296/1676334902_76114000.jpg
31,Сотовый телефон Xiaomi Redmi Note 12 4G 8/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 4G 8/128GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 8/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",17430 сом,/images/product/119856/1680856554_83769900.jpg
32,Сотовый телефон Xiaomi Redmi Note 12 4G 8/128GB зеленый,"

Сотовый телефон Xiaomi Redmi Note 12 4G 8/128GB зеленый

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 685; память 8/128GB; основная камера 50+8+2 mpx; фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 13; GSM 4G            ",17430 сом,/images/product/119857/1680856606_44713600.jpg
